Player,Squad,Pos,Age,Min,Gls,Ast,xG,xAG,Tkl,Int,Clr,Cmp%,PrgP,PrgC,PrgR_stats_possession,SoT,Sh,KP,Touches,attack_score,defend_score,passing_score,movement_score,role,cluster
Sebastiano Esposito,Empoli,"FW,MF",22.0,2331,8,0,5.7,2.1,57,12,14,60.2,93,31,106,19,59,36,1081,153.9,159.0,252.32,366.6,MF,4
Romain Esse,Crystal Palace,MF,19.0,138,1,1,0.3,0.4,9,1,2,76.2,7,1,14,1,1,3,73,7.1,23.0,30.32,36.8,MF,0
Samuel Essende,Augsburg,FW,26.0,1636,7,2,4.2,1.3,7,0,11,64.8,21,33,118,13,44,11,564,125.9,30.5,74.88,341.9,FW,4
Dario Essugo,Las Palmas,MF,19.0,1938,1,0,0.7,0.4,59,42,47,85.4,76,18,8,4,23,13,1228,51.4,272.5,181.24,165.8,MF,1
Nahuel Estévez,Parma,MF,28.0,657,0,0,0.1,0.8,16,3,26,75.7,30,3,4,1,5,6,379,9.7,77.0,78.97,50.4,MF,0
Pervis Estupiñán,Brighton,DF,26.0,2402,1,1,1.2,2.1,65,37,65,83.1,132,59,112,9,28,26,1915,105.9,301.5,320.61,504.0,DF,5
Evanilson,Bournemouth,FW,24.0,2319,10,1,12.5,1.9,16,1,21,71.3,28,29,99,31,72,26,558,202.5,65.5,110.83,297.3,FW,4
Jonny Evans,Manchester Utd,DF,36.0,315,0,0,0.1,0.0,8,5,15,88.5,10,3,3,1,2,0,250,6.7,48.5,28.85,35.5,DF,0
Edu Expósito,Espanyol,MF,27.0,1045,0,2,1.0,3.2,23,15,21,65.6,64,23,41,6,18,28,630,52.0,107.5,192.16,179.5,MF,3
Eberechi Eze,Crystal Palace,"MF,FW",26.0,2588,8,8,10.5,6.2,39,11,10,74.2,97,69,153,27,100,58,1414,254.5,115.0,331.02,550.9,MF,2
Abde Ezzalzouli,Betis,"FW,MF",22.0,1984,2,2,8.0,2.0,37,7,19,71.6,68,117,215,25,61,27,1081,237.5,116.5,195.66,713.6,MF,2
Giovanni Fabbian,Bologna,MF,21.0,1023,3,1,2.3,1.3,10,2,4,71.9,17,14,43,5,21,9,328,56.1,30.0,61.59,139.8,MF,0
Łukasz Fabiański,West Ham,GK,39.0,1160,0,0,0.0,0.0,0,0,5,67.1,0,0,0,0,0,0,530,0.0,7.5,6.71,53.0,GK,0
Alieu Fadera,Como,"FW,DF",22.0,1644,1,3,1.7,4.0,64,12,10,74.6,36,74,160,9,28,23,844,121.9,167.0,134.95999999999998,515.4,DF,4
Wout Faes,Leicester City,DF,26.0,2815,1,0,1.5,0.1,42,26,185,88.0,86,12,1,1,12,4,1906,31.5,413.5,187.1,210.6,DF,1
Nicolò Fagioli,Fiorentina,MF,23.0,962,1,2,0.5,3.0,19,5,12,84.1,50,15,19,4,10,23,713,35.0,66.0,157.91,131.8,MF,3
