Player,Squad,Pos,Age,Min,Gls,Ast,xG,xAG,Tkl,Int,Clr,Cmp%,PrgP,PrgC,PrgR_stats_possession,SoT,Sh,KP,Touches,attack_score,defend_score,passing_score,movement_score,role,cluster
Daniel Maldini,Monza,"MF,FW",22.0,1306,3,0,4.8,0.9,14,4,12,68.3,34,41,66,13,39,12,584,118.1,54.0,95.53,251.9,MF,4
Daniel Maldini,Atalanta,"FW,MF",22.0,258,3,0,1.9,0.2,2,2,3,62.9,7,12,30,5,10,3,140,42.3,12.5,25.39,92.0,MF,0
Youssef Maleh,Empoli,MF,25.0,1510,0,1,0.9,0.9,45,16,25,71.1,72,10,37,3,17,12,744,33.3,159.5,174.81,163.4,MF,3
Donyell Malen,Aston Villa,FW,25.0,305,3,0,2.2,0.2,7,0,1,68.8,6,12,30,9,15,3,129,53.9,15.5,23.98,90.9,FW,0
Donyell Malen,Dortmund,"FW,MF",25.0,614,3,0,2.9,0.2,0,3,6,71.6,17,23,75,6,19,1,278,65.8,15.0,43.26,212.3,MF,0
Ruslan Malinovskyi,Genoa,"MF,FW",31.0,383,0,2,0.2,1.5,12,1,4,81.6,32,3,10,3,9,8,242,16.9,32.0,94.66,48.7,MF,0
Lennard Maloney,Heidenheim,MF,24.0,760,0,0,0.3,0.0,20,14,38,71.6,14,1,0,0,3,1,378,4.6,125.0,36.66,39.3,MF,0
Giorgi Mamardashvili,Valencia,GK,23.0,3060,0,0,0.0,0.1,2,1,16,67.8,0,1,0,0,0,2,1163,1.0,30.0,10.08,117.8,GK,0
Dennis Man,Parma,"FW,MF",25.0,1995,4,4,5.5,4.2,13,8,11,79.6,60,67,142,20,49,45,1027,169.0,58.5,220.06,487.2,MF,4
Gianluca Mancini,Roma,DF,28.0,3143,2,0,1.7,0.9,42,35,103,86.0,139,45,23,5,22,14,2240,83.9,308.5,310.3,337.5,DF,1
Steve Mandanda,Rennes,GK,39.0,1486,0,0,0.0,0.1,0,0,6,70.7,0,0,1,0,0,2,523,0.0,9.0,10.37,54.3,GK,0
Christos Mandas,Lazio,GK,22.0,810,0,0,0.0,0.0,0,0,4,71.6,3,0,0,0,0,0,351,0.0,6.0,13.16,35.1,GK,0
Reinildo Mandava,Atlético Madrid,DF,30.0,941,0,0,0.1,0.1,18,16,35,84.2,34,14,15,1,1,2,717,16.7,120.5,79.72,122.7,DF,3
Aïssa Mandi,Lille,DF,32.0,1733,0,0,0.3,0.4,31,15,54,88.7,82,12,21,2,6,5,1395,21.6,173.0,181.57,199.5,DF,3
Rolando Mandragora,Fiorentina,MF,27.0,1856,4,2,2.7,4.8,23,15,54,77.8,92,11,34,14,37,31,1119,86.4,157.0,258.68,196.4,MF,3
Orel Mangala,Everton,MF,26.0,1261,1,0,1.1,0.6,16,21,24,89.2,34,6,19,6,16,8,621,36.2,110.0,90.72,109.1,MF,3
Ryan Manning,Southampton,"DF,MF",28.0,1462,0,1,0.3,3.2,28,17,47,77.1,35,14,74,1,8,34,968,24.1,160.5,141.31,265.8,DF,3
Javier Manquillo,Celta Vigo,DF,30.0,515,0,0,0.0,0.0,7,7,14,89.8,24,3,5,0,0,0,413,3.0,49.0,56.98,55.8,DF,0
Johan Manzambi,Freiburg,"FW,MF",18.0,335,2,1,1.3,0.4,8,4,7,75.5,10,7,12,3,11,3,209,31.1,34.5,36.25,55.400000000000006,MF,0
Sekou Mara,Strasbourg,"FW,MF",22.0,768,1,1,2.0,1.0,9,3,3,69.2,11,9,47,5,19,5,303,42.5,28.5,42.42,137.8,MF,0
Alessandro Marcandalli,Venezia,DF,21.0,354,0,0,0.3,0.0,8,2,26,73.3,10,2,1,1,2,0,200,6.1,59.0,27.33,25.0,DF,0
Marcão,Sevilla,DF,28.0,552,0,0,0.0,0.0,10,7,29,90.2,19,0,1,0,0,0,382,0.0,77.5,47.02,40.2,DF,0
Solly March,Brighton,"FW,MF",30.0,168,0,0,0.1,0.3,6,2,2,63.2,2,5,20,0,2,3,118,7.2,19.0,15.72,59.3,MF,0
Óscar de Marcos,Athletic Club,DF,35.0,1564,0,4,1.0,2.6,32,16,35,79.2,102,26,78,2,8,19,1158,39.0,148.5,260.22,310.8,DF,3
Pablo Marí,Monza,DF,30.0,1628,0,0,0.2,0.1,26,37,85,89.7,58,5,1,0,2,3,1296,7.4,253.5,129.76999999999998,139.1,DF,3
Pablo Marí,Fiorentina,DF,30.0,1098,0,0,0.1,0.0,14,25,94,91.3,27,2,0,1,5,0,784,8.7,219.0,63.13,81.4,DF,3
José María Giménez,Atlético Madrid,DF,29.0,1999,0,1,0.4,0.2,26,27,115,91.8,64,3,1,1,5,2,1582,10.3,278.5,143.78,164.70000000000002,DF,1
Luca Marianucci,Empoli,DF,20.0,1069,0,0,0.6,0.2,28,19,63,76.8,28,12,3,2,8,3,609,24.2,188.5,68.78,84.9,DF,3
Mirko Marić,Monza,"FW,MF",29.0,106,0,0,0.2,0.0,1,1,1,63.4,3,1,8,0,1,1,54,2.4,5.5,13.84,22.9,MF,0
Mirko Marić,Venezia,FW,29.0,356,0,0,0.6,0.0,6,1,10,74.6,9,4,27,0,6,2,161,11.2,29.0,28.46,76.1,FW,0
Arkaitz Mariezkurrena,Real Sociedad,"FW,MF",19.0,241,2,0,1.0,0.1,1,1,4,69.1,4,3,12,5,10,2,105,28.5,10.0,18.21,39.0,MF,0
Rafa Marín,Napoli,DF,22.0,142,0,0,0.2,0.0,1,1,4,97.5,5,2,0,1,2,0,131,5.9,10.0,19.75,16.1,DF,0
Pablo Marín,Real Sociedad,MF,21.0,1239,1,2,1.4,1.0,25,5,14,80.1,45,20,47,7,21,14,641,57.3,81.0,128.01,188.1,MF,3
Răzvan Marin,Cagliari,MF,28.0,1406,3,2,2.4,3.6,22,2,20,76.1,84,22,29,8,21,34,860,68.8,78.0,243.41000000000005,177.0,MF,3
Guillermo Maripán,Torino,DF,30.0,2340,1,1,0.9,1.0,40,41,138,86.3,96,14,9,5,12,5,1636,38.3,369.0,214.13,202.6,DF,1
Mika Mármol,Las Palmas,DF,23.0,2399,0,1,0.4,1.5,61,38,121,74.4,106,33,62,0,10,16,1820,43.8,379.5,250.94,355.5,DF,1
Omar Marmoush,Manchester City,"FW,MF",25.0,1175,7,0,5.5,2.8,13,6,3,79.2,37,29,78,17,49,15,504,135.5,42.5,112.82,249.9,MF,4
Omar Marmoush,Eint Frankfurt,FW,25.0,1448,15,9,8.8,6.2,12,2,2,69.8,50,73,125,34,75,34,671,261.6,31.0,203.58,426.6,FW,2
Marquinhos,Paris S-G,DF,30.0,1725,2,0,1.1,0.8,30,11,64,94.9,151,29,4,3,8,9,1990,49.7,178.0,327.39,250.5,DF,3
Unai Marrero,Real Sociedad,GK,22.0,180,0,0,0.0,0.0,0,0,1,80.7,0,0,0,0,0,0,66,0.0,1.5,8.07,6.6000000000000005,GK,0
Ange Martial Tia,Reims,"MF,DF",17.0,171,0,0,1.3,0.0,4,2,4,71.0,8,2,9,2,4,2,92,11.6,18.0,26.1,30.200000000000003,DF,0
Aarón Martín,Genoa,DF,27.0,3085,0,8,0.9,5.5,71,19,73,72.5,90,50,108,4,16,65,1951,73.8,289.5,325.25,486.1,DF,5
Carlos Martín,Alavés,"FW,MF",22.0,1333,2,2,2.3,2.7,43,5,20,65.3,21,13,67,12,26,13,612,67.6,126.0,82.13,214.7,MF,3
Gerard Martín,Barcelona,DF,22.0,1038,1,3,0.5,1.1,22,13,27,83.1,40,10,122,2,7,12,909,24.0,110.5,118.61,349.9,DF,3
Iván Martín,Girona,MF,25.0,2039,1,1,1.8,1.9,32,11,15,90.2,131,57,76,3,11,22,1577,79.1,108.5,312.72,395.2000000000001,MF,5
Jon Martin,Real Sociedad,DF,18.0,904,0,1,0.6,0.2,11,7,80,86.8,34,4,0,1,9,4,677,15.7,156.0,86.28,73.7,DF,3
Jonas Martin,Brest,MF,34.0,496,1,0,0.4,0.3,13,8,12,88.8,21,8,9,1,3,3,369,16.3,60.0,56.28,66.9,MF,0
Mario Martín,Valladolid,MF,20.0,1748,0,1,1.8,1.4,62,21,46,84.5,66,18,22,13,28,12,1083,69.1,235.0,165.64999999999998,179.3,MF,3
Gabriel Martinelli,Arsenal,"FW,MF",23.0,2290,8,4,7.4,5.0,23,5,19,71.4,52,124,289,24,55,40,994,253.8,84.5,198.14,863.4,MF,2
Arnau Martinez,Girona,"DF,MF",21.0,2624,2,2,1.2,2.2,51,31,76,86.4,162,41,102,6,19,18,2108,77.4,278.0,372.24,476.3,DF,5
Emiliano Martínez,Aston Villa,GK,31.0,3194,0,0,0.0,0.5,3,0,17,78.7,4,0,0,0,0,2,1449,0.0,31.5,20.37,144.9,GK,0
Iñigo Martínez,Barcelona,DF,33.0,2490,0,4,0.5,2.6,25,18,108,91.0,260,70,11,2,13,16,2652,87.0,248.0,572.9,392.2,DF,5
Josep Martinez,Inter,GK,26.0,450,0,0,0.0,0.1,0,0,0,85.5,0,0,0,0,0,1,246,0.0,0.0,10.35,24.6,GK,0
Lautaro Martínez,Inter,FW,26.0,2474,12,3,13.5,4.3,30,10,15,74.4,68,34,197,33,99,36,981,245.5,102.5,219.34,543.1,FW,2
Lisandro Martínez,Manchester Utd,DF,26.0,1751,2,1,1.3,1.1,40,32,57,89.4,117,23,7,6,17,9,1524,57.6,229.5,262.74,200.9,DF,1
Lucas Martínez Quarta,Fiorentina,DF,28.0,351,1,0,0.7,0.0,12,3,25,88.6,14,3,2,1,3,1,316,11.9,67.5,38.36,40.1,DF,0
Ramón Martínez,Sevilla,DF,21.0,261,1,0,0.3,0.1,6,2,23,91.5,5,1,2,3,4,1,167,13.1,50.5,20.95,22.2,DF,0
Toni Martínez,Alavés,FW,27.0,1012,4,0,3.6,0.6,12,1,15,58.3,11,13,57,15,46,11,401,100.7,48.5,46.13,173.6,FW,4
Kevin Martins,Monza,"MF,DF",19.0,183,0,1,0.0,0.4,5,1,4,67.9,6,3,10,0,0,2,80,3.0,18.0,25.99,32.5,DF,0
Adam Marušić,Lazio,DF,31.0,2337,4,0,2.0,0.6,32,16,61,84.9,84,23,108,10,23,13,1433,77.0,187.5,197.79,393.8,DF,4
Marvin,Las Palmas,"DF,FW",24.0,1038,0,0,0.2,1.1,25,15,34,73.7,30,29,72,0,5,6,658,34.4,131.0,79.67,253.3,DF,3
Omar Mascarell,Mallorca,MF,31.0,1992,1,0,0.5,0.2,27,49,59,84.0,75,10,12,2,9,3,1189,26.0,240.5,163.5,157.9,MF,3
Adam Masina,Torino,DF,30.0,1919,1,2,0.7,0.3,33,27,95,84.1,73,15,10,2,8,4,1502,30.4,262.5,167.31,192.7,DF,1
Patrizio Masini,Genoa,MF,23.0,1538,1,0,0.4,0.2,54,15,37,76.9,44,16,27,1,8,6,878,29.3,193.5,105.29,165.8,MF,3
Giorgos Masouras,Bochum,"FW,MF",30.0,1055,2,1,3.9,1.1,18,4,3,70.4,19,26,82,15,30,10,403,92.3,48.5,66.34,243.3,MF,4
Erhan Mašović,Bochum,DF,25.0,910,1,1,0.6,0.9,14,12,55,82.7,35,1,4,4,7,3,539,18.2,134.5,88.47,63.400000000000006,DF,3
Han-Noah Massengo,Auxerre,MF,23.0,1046,0,0,0.4,0.4,17,17,10,84.7,28,13,13,3,6,3,548,24.3,83.0,70.17,100.3,MF,0
Clinton Mata,Lyon,DF,31.0,2370,0,4,0.2,1.4,41,46,72,88.5,88,20,23,0,5,11,1877,25.4,282.0,217.55,263.70000000000005,DF,1
Jaime Mata,Las Palmas,"FW,MF",35.0,656,0,0,2.6,0.1,8,3,11,67.9,10,6,48,6,17,3,270,37.2,38.5,31.59,132.0,MF,0
Igor Matanovic,Eint Frankfurt,FW,21.0,312,1,0,1.1,0.0,2,1,9,76.0,6,2,19,4,12,1,133,25.2,19.5,21.1,54.3,FW,0
Pape Matar Sarr,Tottenham,MF,21.0,1913,3,2,3.7,1.6,49,30,25,86.4,88,33,53,13,34,15,1253,102.9,195.5,217.94,280.8,MF,4
Jean-Philippe Mateta,Crystal Palace,FW,27.0,2648,14,2,13.5,3.2,18,2,23,65.1,52,45,122,29,68,29,739,225.5,74.5,169.61,385.4,FW,4
Nemanja Matić,Lyon,MF,35.0,2010,0,1,0.1,1.3,42,18,31,86.9,150,35,15,1,2,17,1569,38.7,166.5,341.09,239.4,MF,3
Chrislain Matsima,Augsburg,DF,22.0,2551,1,1,1.8,0.3,31,52,163,86.0,84,14,13,2,14,5,1669,37.6,410.5,188.0,213.9,DF,1
Jean Mattéo Bahoya,Eint Frankfurt,"MF,FW",19.0,921,2,3,1.9,1.7,29,4,10,74.3,28,24,93,3,10,18,475,48.3,81.0,104.53,269.5,MF,3
Alan Matturro,Genoa,DF,19.0,900,0,0,0.2,0.2,11,14,38,78.0,15,12,9,3,4,3,458,20.9,107.0,42.9,81.80000000000001,DF,0
Azor Matusiwa,Rennes,MF,26.0,2078,1,3,1.2,1.8,64,34,52,87.1,134,19,26,2,11,17,1358,38.4,274.0,316.61,216.3,MF,1
Neal Maupay,Marseille,FW,27.0,1042,4,4,4.1,2.2,9,2,0,84.2,37,12,81,10,19,13,386,66.2,22.0,120.52,218.6,FW,4
Stephy Mavididi,Leicester City,FW,26.0,1615,4,1,1.8,2.6,34,11,15,75.0,57,91,138,7,26,22,863,143.1,112.5,165.3,498.8,FW,4
Konstantinos Mavropanos,West Ham,DF,26.0,2045,0,0,1.5,0.5,35,40,126,86.3,61,17,2,5,18,5,1532,45.5,339.0,139.63,182.7,DF,1
Christian Mawissa,Monaco,DF,19.0,1501,0,0,0.1,0.0,42,26,48,87.5,44,13,10,1,1,1,1138,15.7,208.0,98.25,153.3,DF,3
Keke Maximilian Topp,Werder Bremen,"FW,MF",20.0,252,2,2,1.0,2.0,3,1,4,54.5,9,10,27,4,7,10,135,31.0,14.0,50.45,82.5,MF,0
Borja Mayoral,Getafe,FW,27.0,1114,5,1,3.4,0.9,5,2,6,77.6,13,10,43,8,19,8,366,62.8,23.0,51.46,137.6,FW,0
Senny Mayulu,Paris S-G,MF,18.0,808,2,2,2.9,2.1,25,5,12,87.8,46,29,56,8,25,12,592,77.8,78.0,131.07999999999998,214.7,MF,3
Noussair Mazraoui,Manchester Utd,DF,26.0,2838,0,1,0.7,1.5,115,34,95,85.7,115,42,58,3,13,20,2139,60.9,440.5,276.07,392.9,DF,1
Luca Mazzitelli,Como,MF,28.0,335,1,1,0.2,0.6,9,3,10,79.2,27,2,14,3,7,6,235,16.9,39.0,75.72,54.5,MF,0
Pasquale Mazzocchi,Napoli,"DF,FW",29.0,702,0,0,0.3,0.4,15,5,25,80.3,23,20,43,1,3,5,385,25.1,77.5,62.73,154.5,DF,0
Samuel Mbangula,Juventus,FW,20.0,709,3,3,0.6,1.4,15,3,4,85.5,17,25,44,5,9,15,349,51.7,42.0,78.25,160.4,FW,0
Ethan Mbappé,Lille,"MF,FW",17.0,222,0,0,1.1,1.5,6,1,0,75.5,8,6,32,4,11,6,177,25.2,14.0,37.05,90.7,MF,0
Kylian Mbappé,Real Madrid,FW,25.0,2907,31,3,25.9,7.7,8,1,1,82.9,140,150,386,75,152,51,1572,559.3,19.5,396.89,1154.2,FW,2
Ibrahim Mbaye,Paris S-G,"FW,MF",16.0,340,1,1,1.8,1.1,4,2,2,86.5,9,15,54,7,12,3,198,44.1,15.0,37.45,150.3,MF,0
Bryan Mbeumo,Brentford,FW,24.0,3414,20,7,12.3,8.3,49,14,55,66.1,141,130,351,34,79,70,1781,344.6,208.5,439.51,1075.1,FW,2
James Mcatee,Manchester City,"MF,FW",21.0,349,3,0,2.8,0.5,5,2,1,80.0,7,7,32,4,12,3,168,39.6,15.5,28.0,91.3,MF,0
Kasey McAteer,Leicester City,FW,22.0,852,1,1,1.0,0.7,23,5,15,72.6,14,19,71,7,13,9,379,47.5,78.5,53.86,208.4,FW,0
Oliver McBurnie,Las Palmas,FW,28.0,1837,3,6,4.8,2.8,15,6,24,65.9,27,7,75,12,32,24,605,75.6,78.0,122.99,221.0,FW,3
Alex McCarthy,Southampton,GK,34.0,450,0,0,0.0,0.0,0,0,1,75.0,0,0,0,0,0,0,173,0.0,1.5,7.5,17.3,GK,0
John McGinn,Aston Villa,"MF,FW",29.0,2223,1,4,3.1,3.5,33,14,18,81.9,103,32,87,5,31,31,1072,79.7,121.0,283.19,329.2,MF,4
Scott McKenna,Las Palmas,DF,27.0,2466,0,0,1.1,0.7,21,9,163,86.7,45,11,3,0,10,4,1745,23.2,304.5,106.77,197.0,DF,1
Weston McKennie,Juventus,"MF,DF",25.0,2310,2,4,2.9,3.6,33,14,37,83.1,101,28,153,8,22,32,1350,73.8,149.5,281.11,483.0,DF,5
Mark McKenzie,Toulouse,DF,25.0,2496,1,1,1.4,0.5,52,22,141,86.1,97,10,5,2,8,4,1648,26.8,359.5,213.11,189.8,DF,1
Dwight McNeil,Everton,"MF,FW",24.0,1371,4,6,1.1,5.2,13,6,2,74.5,69,38,80,10,25,37,748,92.2,41.0,234.55,291.8,MF,4
Scott McTominay,Napoli,MF,27.0,2938,12,4,7.4,2.7,43,24,51,84.1,112,56,131,33,76,26,1314,232.3,210.5,291.51,477.4,MF,2
Jakov Medić,Bochum,DF,25.0,1603,1,0,0.9,0.2,13,22,111,87.4,27,2,3,3,14,3,975,25.3,236.5,67.84,106.5,DF,3
Facundo Medina,Lens,DF,25.0,2543,0,1,1.8,2.0,44,32,70,87.6,174,46,42,3,27,24,2176,81.1,257.0,401.76,370.6,DF,5
Ben Mee,Brentford,DF,34.0,183,0,0,0.0,0.0,2,4,7,77.5,11,3,2,0,0,0,138,3.0,22.5,29.75,22.3,DF,0
Bamo Meïté,Montpellier,DF,22.0,424,0,0,0.0,0.0,5,4,14,88.4,7,1,1,0,1,0,210,2.0,39.0,22.840000000000003,24.5,DF,0
Mohamed Meité,Rennes,FW,16.0,544,2,0,2.5,0.6,2,0,5,66.0,6,8,37,5,15,5,155,41.5,11.5,27.9,101.5,FW,0
Farid El Melali,Angers,FW,27.0,1893,2,3,3.6,3.1,28,16,12,69.9,43,62,113,14,46,25,842,142.2,106.0,148.79,403.2,FW,4
Arthur Melo,Girona,MF,27.0,941,0,0,0.2,0.2,25,8,12,92.4,70,24,17,1,6,5,806,31.9,84.0,157.34,150.60000000000002,MF,3
Nuno Mendes,Paris S-G,DF,22.0,1676,1,3,2.2,5.0,30,18,37,86.9,127,58,108,9,21,30,1701,99.9,151.5,331.69,473.1,DF,5
Brais Méndez,Real Sociedad,MF,27.0,1531,3,2,3.5,2.0,24,7,16,77.9,91,32,86,9,28,23,1020,89.5,86.0,236.29,322.0,MF,4
Antoine Mendy,Nice,DF,20.0,825,0,0,0.6,0.1,30,8,29,81.1,35,12,15,1,9,2,595,23.7,119.5,81.41,107.5,DF,3
Ferland Mendy,Real Madrid,DF,29.0,1005,0,1,0.0,0.5,17,9,8,93.9,36,12,40,0,0,3,739,12.0,64.0,90.39,171.9,DF,0
Nampalys Mendy,Lens,MF,32.0,588,0,1,0.2,0.1,15,9,8,89.7,28,2,3,0,3,1,357,5.4,60.0,69.77,44.7,MF,0
Nobel Mendy,Betis,DF,19.0,108,0,0,0.0,0.0,0,4,10,86.8,3,0,0,0,0,0,71,0.0,23.0,14.68,7.1000000000000005,DF,0
Gideon Mensah,Auxerre,DF,26.0,2280,0,1,0.2,2.6,68,50,83,79.9,93,52,101,1,4,22,1627,57.9,360.5,237.79,442.7000000000001,DF,1
Alex Meret,Napoli,GK,27.0,3005,0,0,0.0,0.0,0,0,16,85.9,1,0,0,0,0,0,1290,0.0,24.0,10.590000000000002,129.0,GK,0
Mikel Merino,Arsenal,"MF,FW",28.0,1586,7,2,5.9,2.0,46,15,26,78.2,69,11,94,13,38,17,783,101.3,161.0,183.32,282.8,MF,4
Quentin Merlin,Marseille,DF,22.0,1589,1,3,2.1,3.0,22,14,17,82.4,86,40,169,9,26,25,1296,86.7,97.5,235.74,527.6,DF,4
Víctor Meseguer,Valladolid,MF,25.0,418,0,0,0.7,0.0,10,2,4,78.3,22,2,22,0,6,1,234,9.4,30.0,53.33,70.4,MF,0
Rafik Messali,Toulouse,DF,21.0,456,0,1,0.3,1.0,15,10,12,73.1,21,13,29,0,4,11,298,17.6,68.0,71.81,107.3,DF,0
Junior Messias,Genoa,"MF,FW",33.0,847,1,1,2.4,0.7,13,6,20,63.7,32,32,49,5,17,8,397,64.3,68.0,87.47,185.7,MF,3
Connor Metcalfe,St. Pauli,"MF,FW",24.0,358,0,0,0.7,0.2,2,3,8,64.4,8,6,11,3,6,3,156,17.9,22.0,27.540000000000003,46.6,MF,0
Karol Mets,St. Pauli,DF,31.0,900,0,0,0.1,0.2,13,12,60,83.4,54,5,2,0,3,3,736,8.2,140.0,121.44,85.10000000000001,DF,3
Thomas Meunier,Lille,DF,32.0,1928,2,0,1.9,0.7,53,34,64,80.4,136,64,148,11,28,13,1736,118.3,270.0,301.64000000000004,565.6,DF,5
Alexander Meyer,Dortmund,GK,33.0,180,0,0,0.0,0.1,0,0,0,65.1,0,0,0,0,0,1,87,0.0,0.0,8.309999999999999,8.700000000000001,GK,0
Lucas Michal,Monaco,"FW,MF",19.0,117,0,0,0.2,0.9,5,1,2,81.8,4,4,11,1,3,1,64,8.9,15.0,20.38,34.4,MF,0
Miguel,Leganés,FW,24.0,1724,1,3,4.9,1.4,16,4,23,58.6,16,14,90,14,33,7,472,80.8,74.5,61.56,248.2,FW,4
Valentin Mihaila,Parma,"FW,MF",24.0,1288,0,3,2.4,1.2,29,8,6,75.4,41,25,72,11,31,17,582,77.3,83.0,127.64,239.7,MF,4
Georges Mikautadze,Lyon,FW,23.0,1449,11,6,10.3,4.3,7,4,6,76.5,54,37,140,22,52,21,653,175.6,31.0,178.05,400.8,FW,4
Nikola Milenković,Nott'ham Forest,DF,26.0,3330,5,2,4.0,1.1,51,27,209,82.3,51,3,6,8,29,9,1412,67.0,469.5,133.03,157.70000000000002,DF,1
Lewis Miley,Newcastle Utd,MF,18.0,313,1,0,0.5,0.0,14,2,5,88.0,17,2,8,2,3,1,235,12.0,39.5,44.3,42.5,MF,0
Vanja Milinković-Savić,Torino,GK,27.0,3330,0,0,0.0,0.1,1,0,18,68.0,0,0,0,0,0,3,1737,0.0,29.0,11.6,173.70000000000002,GK,0
Éder Militão,Real Madrid,DF,26.0,938,1,1,0.6,0.5,19,12,35,89.3,46,7,1,3,10,6,819,25.7,114.5,114.43,94.4,DF,3
Luis Milla,Getafe,MF,29.0,2875,1,4,1.8,3.9,61,24,28,73.5,152,32,30,7,31,70,1802,80.1,212.0,440.05,288.20000000000005,MF,5
Pere Milla,Espanyol,"MF,FW",31.0,456,3,0,1.5,0.3,6,3,5,58.8,13,9,27,5,11,5,239,39.5,25.5,40.28,91.4,MF,0
Enzo Millot,Stuttgart,"MF,FW",22.0,1843,6,5,7.6,3.1,30,13,6,84.8,118,44,123,17,43,23,1397,145.7,95.0,303.28,451.7000000000001,MF,4
James Milner,Brighton,MF,38.0,170,0,0,0.2,0.2,5,2,2,74.3,10,1,10,0,2,4,93,3.4,17.0,34.03,30.8,MF,0
Kim Min-jae,Bayern Munich,DF,27.0,2283,2,0,1.6,0.3,35,37,91,92.5,181,16,5,5,7,6,2764,39.7,280.5,381.15,310.40000000000003,DF,1
Yerry Mina,Cagliari,DF,29.0,2569,1,0,2.3,0.3,66,37,163,85.9,76,17,9,8,26,4,1797,62.6,450.5,167.49,223.2,DF,1
Takumi Minamino,Monaco,"MF,FW",29.0,2231,6,3,8.9,6.6,33,10,20,70.7,114,51,193,20,57,40,1016,173.8,116.0,323.87,564.1,MF,2
Lucas Mincarelli,Montpellier,DF,20.0,715,1,0,0.6,0.3,17,9,27,81.5,25,15,16,2,7,3,462,29.2,92.5,63.55,100.7,DF,0
Tyrone Mings,Aston Villa,DF,31.0,1120,0,0,0.8,0.2,7,7,61,88.2,40,7,1,1,9,3,794,19.1,119.5,93.92,91.9,DF,3
Óscar Mingueza,Celta Vigo,"MF,DF",25.0,2729,4,6,1.5,5.6,38,22,46,77.0,200,69,194,10,33,35,2460,132.0,189.0,495.0,737.5,DF,5
Yankuba Minteh,Brighton,"FW,MF",20.0,1838,6,4,4.1,5.0,48,11,31,62.5,48,90,201,16,34,29,836,174.2,164.5,172.75,620.6,MF,2
Bojan Miovski,Girona,FW,25.0,869,2,1,2.7,0.2,7,2,7,76.1,4,4,33,4,14,4,182,35.4,28.5,25.21,90.2,FW,0
Rafa Mir,Valencia,"FW,MF",27.0,753,1,2,3.0,0.7,12,5,9,72.0,20,10,28,7,27,4,294,56.5,47.5,61.3,100.4,MF,0
Juan Miranda,Bologna,DF,24.0,2277,0,6,0.7,6.1,32,23,50,75.7,163,34,88,5,22,57,2080,64.9,185.0,455.37,435.0,DF,5
Fabio Miretti,Genoa,"MF,FW",20.0,1677,3,3,3.1,2.0,28,7,13,74.4,54,33,100,6,24,22,847,81.2,89.5,163.44,334.2,MF,4
Tyrick Mitchell,Crystal Palace,DF,24.0,3092,0,5,1.3,6.4,91,19,108,72.0,70,63,171,3,12,41,1754,82.1,382.0,242.9,611.9,DF,1
Kaoru Mitoma,Brighton,"FW,MF",27.0,2603,10,4,9.2,4.6,45,14,10,75.8,89,146,291,27,57,37,1375,291.9,133.0,266.88,938.5,MF,2
Maximilian Mittelstädt,Stuttgart,DF,27.0,2469,1,7,0.9,4.7,79,47,96,83.4,182,62,155,4,21,47,2385,93.8,396.0,477.94,641.5,DF,5
Koji Miyoshi,Bochum,"FW,MF",27.0,464,1,0,1.1,0.8,8,2,2,59.2,15,11,23,5,12,5,201,35.7,23.0,45.82,82.6,MF,0
Henrikh Mkhitaryan,Inter,MF,35.0,2328,1,4,1.5,2.7,43,16,41,87.4,199,72,93,2,23,29,1747,104.0,179.5,470.34,468.7000000000001,MF,5
Rui Modesto,Udinese,"DF,MF",24.0,608,0,1,0.5,0.8,16,8,13,74.5,22,16,43,2,3,14,388,23.0,67.5,77.85,148.8,DF,0
Luka Modrić,Real Madrid,MF,38.0,1827,2,6,1.6,7.0,31,27,17,87.6,208,62,63,6,22,66,2124,102.2,141.5,562.76,431.4,MF,5
Max Moerstedt,Hoffenheim,FW,0.0,451,0,0,0.8,0.6,5,0,5,67.0,10,6,36,4,12,7,159,25.6,17.5,39.0,96.9,FW,0
Mostafa Mohamed,Nantes,FW,26.0,1252,5,0,5.5,0.4,18,10,27,64.8,20,11,50,16,43,6,452,104.0,96.5,56.68000000000001,161.7,FW,4
Johan Mojica,Mallorca,DF,31.0,2755,1,2,0.9,4.1,35,26,84,74.2,130,66,142,3,17,40,1949,92.3,248.0,345.72,577.9,DF,5
Alberto Moleiro,Las Palmas,"FW,MF",20.0,2714,6,1,5.6,3.3,27,18,8,81.3,116,97,179,24,68,41,1416,230.2,102.0,314.53,645.1,MF,2
Nahuel Molina,Atlético Madrid,DF,26.0,1590,0,3,0.8,1.5,44,13,53,79.9,61,35,96,1,9,13,1366,47.1,193.5,162.99,381.1,DF,3
Florent Mollet,Nantes,"MF,FW",32.0,242,0,0,0.3,0.3,2,1,4,78.3,9,3,12,2,6,6,125,12.6,12.0,35.73,41.0,MF,0
Jon Moncayola,Osasuna,MF,26.0,2099,0,0,1.6,3.7,70,11,20,74.4,107,25,51,9,21,33,1198,62.7,192.0,282.04,259.3,MF,3
Jeremy Monga,Leicester City,"FW,MF",0.0,112,0,0,0.2,0.0,2,0,1,62.1,3,6,10,1,3,1,51,10.9,5.5,13.71,34.1,MF,0
Gonzalo Montiel,Sevilla,"DF,MF",27.0,113,0,0,0.0,0.0,4,2,11,87.2,2,3,3,0,1,0,99,4.0,28.5,12.72,20.4,DF,0
